pcut_position,psvol_position,label
-884321,13973,1
-884312,13981,1
-884303,13989,1
-884294,13997,1
-884285,14005,1
-884275,14013,1
-884266,14021,1
-884256,14029,1
-884247,14038,1
-884237,14046,1
-884227,14054,1
-884217,14062,1
-884208,14070,1
-884198,14078,1
-884187,14086,1
-884177,14094,1
-884167,14102,1
-884157,14110,1
-884146,14118,1
-884136,14126,1
-884125,14135,1
-884114,14143,1
-884104,14151,1
-884093,14159,1
-884082,14167,1
-884071,14175,1
-884060,14183,1
-884049,14191,1
-884038,14199,1
-884026,14208,1
-884015,14216,1
-884003,14224,1
-883992,14232,1
-883980,14240,1
-883969,14248,1
-883957,14256,1
-883945,14264,1
-883933,14272,1
-883921,14281,1
-883909,14289,1
-883897,14297,1
-883885,14305,1
-883873,14313,1
-883861,14321,1
-883848,14329,1
-883836,14337,1
-883824,14345,1
-883811,14354,1
-883798,14362,1
-883786,14370,1
-883773,14378,1
-883760,14386,1
-883748,14394,1
-883735,14402,1
-883722,14410,1
-883709,14418,1
-883696,14426,1
-883683,14435,1
-883669,14443,1
-883656,14451,1
-883643,14459,1
-883630,14467,1
-883616,14475,1
-883603,14483,1
-883590,14491,1
-883576,14500,1
-883562,14508,1
-883549,14516,1
-883535,14524,1
-883522,14532,1
-883508,14540,1
-883494,14548,1
-883480,14556,1
-883466,14564,1
-883453,14572,1
-883439,14580,1
-883425,14589,1
-883411,14597,1
-883397,14605,1
-883383,14613,1
-883369,14621,1
-883355,14629,1
-883341,14637,1
-883327,14645,1
-883313,14653,1
-883299,14661,1
-883285,14669,1
-883271,14677,1
-883257,14685,1
-883242,14693,1
-883229,14701,1
-883214,14709,1
-883200,14717,1
-883186,14725,1
-883173,14733,1
-883159,14741,1
-883145,14749,1
-883131,14756,1
-883117,14764,1
-883103,14772,1
-883089,14780,1
-883076,14788,1
-883062,14795,1
-883049,14803,1
-883035,14811,1
-883021,14818,1
-883008,14826,1
-882995,14833,1
-882981,14841,1
-882968,14848,1
-882955,14856,1
-882942,14863,1
-882928,14871,1
-882915,14878,1
-882902,14886,1
-882889,14893,1
-882877,14900,1
-882864,14907,1
-882851,14915,1
-882838,14922,1
-882826,14929,1
-882813,14936,1
-882801,14943,1
-882788,14950,1
-882776,14957,1
-882763,14964,1
-882751,14971,1
-882739,14978,1
-882726,14985,1
-882714,14992,1
-882702,14999,1
-882690,15006,1
-882678,15012,1
-882667,15019,1
-882655,15026,1
-882643,15032,1
-882631,15039,1
-882620,15045,1
-882608,15052,1
-882597,15058,1
-882585,15065,1
-882574,15071,1
-882563,15078,1
-882551,15084,1
-882540,15090,1
-882529,15097,1
-882518,15103,1
-882507,15110,1
-882496,15116,1
-882485,15122,1
-882474,15129,1
-882463,15135,1
-882453,15141,1
-882442,15147,1
-882431,15153,1
-882421,15159,1
-882410,15165,1
-882400,15171,1
-882389,15177,1
-882379,15183,1
-882368,15188,1
-882358,15194,1
-882348,15200,1
-882337,15206,1
-882327,15212,1
-882317,15217,1
-882307,15223,1
-882297,15229,1
-882287,15235,1
-882277,15240,1
-882267,15246,1
-882257,15252,1
-882247,15257,1
-882237,15263,1
-882227,15268,1
-882217,15274,1
-882207,15280,1
-882198,15285,1
-882188,15291,1
-882178,15296,1
-882168,15302,1
-882159,15307,1
-882149,15313,1
-882139,15318,1
-882129,15324,1
-882120,15330,1
-882110,15335,1
-882100,15341,1
-882091,15346,1
-882081,15352,1
-882071,15357,1
-882062,15363,1
-882052,15368,1
-882043,15374,1
-882033,15379,1
-882023,15385,1
-882014,15391,1
-882004,15396,1
-881995,15402,1
-881985,15407,1
-881976,15413,1
-881966,15418,1
-881957,15424,1
-881948,15429,1
-881938,15435,1
-881929,15440,1
-881920,15446,1
-881910,15451,1
-881901,15457,1
-881891,15463,1
-881882,15468,1
-881873,15474,1
-881864,15479,1
-881854,15485,1
-881845,15490,1
-881836,15496,1
-881827,15501,1
-881818,15507,1
-881809,15512,1
-881800,15518,1
-881791,15524,1
-881782,15529,1
-881773,15535,1
-881764,15540,1
-881755,15546,1
-881746,15551,1
-881737,15557,1
-881728,15562,1
-881719,15568,1
-881710,15573,1
-881701,15579,1
-881693,15584,1
-881684,15590,1
-881675,15596,1
-881666,15601,1
-881658,15607,1
-881649,15612,1
-881640,15618,1
-881632,15623,1
-881623,15629,1
-881615,15634,1
-881606,15640,1
-881598,15645,1
-881589,15651,1
-881581,15656,1
-881573,15662,1
-881564,15667,1
-881556,15673,1
-881548,15678,1
-881539,15684,1
-881531,15690,1
-881523,15695,1
-881515,15701,1
-881507,15706,1
-881499,15712,1
-881490,15717,1
-881482,15723,1
-881474,15728,1
-881466,15734,1
-881459,15739,1
-881451,15745,1
-881443,15751,1
-881435,15756,1
-881427,15762,1
-881419,15767,1
-881412,15773,1
-881404,15778,1
-881396,15784,1
-881389,15789,1
-881381,15795,1
-881374,15800,1
-881366,15806,1
-881359,15812,1
-881351,15817,1
-881344,15823,1
-881336,15828,1
-881329,15834,1
-881322,15839,1
-881314,15845,1
-881307,15850,1
-881300,15856,1
-881293,15861,1
-881286,15867,1
-881279,15872,1
-881272,15878,1
-881265,15884,1
-881258,15889,1
-881251,15895,1
-881244,15900,1
-881237,15906,1
-881230,15911,1
-881224,15917,1
-881217,15922,1
-881210,15928,1
-881204,15933,1
-881197,15939,1
-881190,15945,1
-881184,15950,1
-881177,15956,1
-881171,15961,1
-881165,15967,1
-881158,15972,1
-881152,15978,1
-881146,15983,1
-881139,15989,1
-881133,15994,1
-881127,16000,1
-881121,16006,1
-881115,16011,1
-881109,16017,1
-881103,16022,1
-881097,16028,1
-881091,16033,1
-881085,16039,1
-881079,16044,1
-881074,16050,1
-881068,16055,1
-881062,16061,1
-881056,16066,1
-881051,16072,1
-881045,16078,1
-881040,16083,1
-881034,16089,1
-881029,16094,1
-881023,16100,1
